Sample	UU	MU	MM	NM	NU	NN
25006LRa194_T2T00-2_PoreC_05917	253164354.0	5519714.0	1796515.0	1638667.0	52240293.0	20732001.0
25006LRa195_T2T00-2_PoreC_05918	224227021.0	4894630.0	1591105.0	1448500.0	46209949.0	17537461.0
25006LRa218_T2T00_PoreC_06049	159742931.0	3588606.0	1177977.0	1127178.0	33703679.0	13881823.0
25006LRa219_T2T04_PoreC_06051	107783690.0	2520163.0	768174.0	811680.0	23924279.0	10348035.0
25006LRa220_T2T12_PoreC_06053	194367528.0	4011030.0	1317991.0	1141319.0	38414021.0	15140233.0
25006LRa221_T2T12_PoreC_06054	276551993.0	5727862.0	1854615.0	1642164.0	55637465.0	25601325.0
25006LRa222_T2T13_PoreC_06056	324755005.0	6722761.0	2391185.0	2178612.0	71200863.0	29336839.0
25006LRa223_T2T13_PoreC_06057	149498284.0	3106984.0	1114432.0	1030916.0	33512260.0	14404351.0
25066LRa145_T2T12_PoreC_05688	324843749.0	6691109.0	2180824.0	1799771.0	61081375.0	21851962.0
25066LRa146_T2T12_PoreC_05689	301027323.0	6201614.0	2017230.0	1677875.0	56940229.0	21198582.0
25066LRa147_T2T15_PoreC_05690	342079884.0	7303384.0	2384651.0	2226949.0	70319779.0	26917484.0
25066LRa148_T2T15_PoreC_05691	268692376.0	5738923.0	1873783.0	1775752.0	56069565.0	23638894.0
25066LRa149_T2T16_PoreC_05692	284489650.0	5624125.0	1878026.0	1521955.0	52933235.0	19520495.0
25066LRa150_T2T16_PoreC_05693	267355085.0	5280093.0	1753661.0	1429782.0	49842990.0	18208928.0
25066LRa152_T2TP02_PoreC_05695	384203681.0	7798265.0	2762847.0	2234088.0	72405124.0	26779398.0
