Sample	mosdepth-1_x_pc	mosdepth-5_x_pc	mosdepth-10_x_pc	mosdepth-30_x_pc	mosdepth-50_x_pc	mosdepth-median_coverage	mosdepth-mean_coverage	mosdepth-min_coverage	mosdepth-max_coverage	mosdepth-coverage_bases	mosdepth-length	pairtools-total	pairtools-frac_unmapped	pairtools-frac_single_sided_mapped	pairtools-frac_mapped	pairtools-frac_dups	pairtools-total_nodups	pairtools-frac_cis
25006LRa169_T2T17_PoreC_05788	95.0	93.0	90.0	38.0	2.0	26	25.95	0.0	12944.0	80907.934769	3117292070	285.771503	7.19302407140295	29.24926142828174	63.55771450031531	0.0	181.62983599999998	57.18798094383568
25006LRa170_T2T18_PoreC_05789	95.0	93.0	89.0	33.0	1.0	25	24.71	0.0	22292.0	77028.953201	3117292070	267.2768	7.299759649920981	30.061736746324407	62.638503603754614	0.0	167.418188	55.33122004641455
25006LRa171_T2T18_PoreC_05790	95.0	92.0	84.0	10.0	1.0	18	18.47	0.0	17231.0	57575.499792999995	3117292070	198.408187	7.233088118485756	29.826471323988258	62.94044055752599	0.0	124.878987	55.5445689193491
25006LRa172_T2T19_PoreC_05791	95.0	93.0	91.0	53.0	4.0	30	30.03	0.0	21916.0	93608.540323	3117292070	343.13788	7.415336948517605	30.80029345637969	61.7843695951027	0.0	212.005576	51.96244885559048
25006LRa173_T2T19_PoreC_05792	95.0	93.0	91.0	48.0	3.0	29	28.68	0.0	20929.0	89391.424502	3117292070	330.06012799999996	7.910994326464056	31.007617799869486	61.08138787366646	0.0	201.60530699999998	52.04459225867502
25006LRa192_T2T00-1_PoreC_05915	95.0	93.0	92.0	66.0	18.0	36	35.84	0.0	18879.0	111722.482668	3117292070	391.618503	6.798950967850464	29.251300467792245	63.94974856435729	0.0	250.43904799999999	51.04392307065469
25006LRa193_T2T00-1_PoreC_05916	95.0	93.0	91.0	57.99999999999999	10.0	33	32.42	0.0	17257.0	101053.940703	3117292070	355.775825	7.121181716042679	29.22609342554402	63.6527248584133	0.0	226.461007	51.014912249330415
25006LRa194_T2T00-2_PoreC_05917	94.0	92.0	91.0	68.0	15.0	36	35.53	0.0	24825.0	110746.46016399999	3117292070	389.133895	6.592470183045863	28.349112328033005	65.05841748892114	0.0	253.16435399999997	55.57296032284229
25006LRa195_T2T00-2_PoreC_05918	94.0	92.0	91.0	57.99999999999999	6.0	32	31.45	0.0	22338.0	98046.700109	3117292070	343.684467	6.36957677810909	28.388306533504178	65.24211668838673	0.0	224.22702099999998	55.558415950234654
25006LRa218_T2T00_PoreC_06049	95.0	93.0	88.0	21.0	1.0	23	22.18	0.0	10021.0	69128.523065	3117292070	250.38028799999998	6.921127513041283	29.278749771227996	63.80012271573072	0.0	159.742931	53.576040870315566
25006LRa219_T2T04_PoreC_06051	94.0	91.0	79.0	3.0	0.0	15	15.53	0.0	26626.0	48419.474626999996	3117292070	173.684224	7.379863124471224	30.562865629062546	62.05727124646623	0.0	107.78368999999999	51.73352573102665
25006LRa220_T2T12_PoreC_06053	94.0	92.0	90.0	48.0	3.0	29	28.02	0.0	15995.0	87361.96447199999	3117292070	299.775172	6.315449633033652	28.846783215255734	64.83776715171061	0.0	194.367528	56.85036751612132
25006LRa221_T2T12_PoreC_06054	94.0	92.0	91.0	73.0	28.999999999999996	41	39.58	0.0	22903.0	123391.920825	3117292070	425.271801	7.208203771780298	27.762327462666637	65.02946876555306	0.0	276.551993	56.617667550130435
25006LRa222_T2T13_PoreC_06056	94.0	92.0	92.0	83.0	45.0	48	45.51	0.0	40923.0	141859.315266	3117292070	512.284707	7.032839455814558	29.57369972787417	63.393460816311276	0.0	324.755005	57.16493822781884
25006LRa223_T2T13_PoreC_06057	93.0	91.0	88.0	16.0	1.0	22	21.11	0.0	18837.0	65814.47837099999	3117292070	239.94735	7.350964701214663	30.344415556162634	62.304619742622705	0.0	149.49828399999998	57.25253408259857
25066LRa145_T2T12_PoreC_05688	94.0	92.0	92.0	81.0	47.0	48	45.97	0.0	26878.0	143293.850214	3117292070	481.991514	5.702450811198307	26.901393952757434	67.39615523604427	0.0	324.843749	56.577991900961585
25066LRa146_T2T12_PoreC_05689	94.0	92.0	92.0	78.0	38.0	44	42.59	0.0	24416.0	132770.661011	3117292070	447.962292	5.898119656910765	26.90262532186526	67.19925502122396	0.0	301.02732299999997	56.467078903664834
25066LRa147_T2T15_PoreC_05690	94.0	93.0	92.0	84.0	51.0	50	47.97	0.0	90153.0	149542.814315	3117292070	523.887289	6.406474580451215	28.297059713544602	65.29646570600418	0.0	342.079884	54.32620498666913
25066LRa148_T2T15_PoreC_05691	94.0	92.0	92.0	73.0	22.0	39	37.8	0.0	72612.0	117836.104517	3117292070	415.784669	6.955085445923452	28.421950786261434	64.62296376781511	0.0	268.69237599999997	54.33595704256231
25066LRa149_T2T16_PoreC_05692	94.0	92.0	91.0	75.0	30.0	42	39.8	0.0	17739.0	124077.182299	3117292070	420.86236199999996	5.7782848255744	26.624876947299935	67.59683822712567	0.0	284.48965	59.88177847594807
25066LRa150_T2T16_PoreC_05693	94.0	92.0	91.0	71.0	22.0	39	37.36	0.0	16078.0	116475.64050499999	3117292070	395.16425899999996	5.741898332966393	26.60140475912828	67.65669690790533	0.0	267.355085	59.77504112180997
25066LRa152_T2TP02_PoreC_05695												570.502903	5.924983698110998	26.730279056967394	67.3447372449216	0.0	384.20368099999996	64.47125815017894
