sample	reference	haplotype	total_reads_used	count_reads	pass_threshold	base	mod_code	pass_count	pass_frac	all_count	all_frac
T2T10	ref	combined	66241	66241	0.6855469	C	-	11794423	0.19812699	13752582	0.20810387
T2T10	ref	combined	66241	66241	0.6855469	C	h	1845968	0.03100924	3512144	0.05314571
T2T10	ref	combined	66241	66241	0.6855469	C	m	45889221	0.7708638	48820456	0.7387504
T2T10	ref	hp1	100420	100420	0.6503906	C	-	1700110	0.18272799	1969397	0.19066301
T2T10	ref	hp1	100420	100420	0.6503906	C	h	367111	0.039457127	658345	0.06373628
T2T10	ref	hp1	100420	100420	0.6503906	C	m	7236827	0.77781487	7701461	0.7456007
T2T10	ref	hp2	100420	100420	0.6386719	C	-	1692700	0.1824304	1969404	0.19125165
T2T10	ref	hp2	100420	100420	0.6386719	C	h	389054	0.041930217	683927	0.066417135
T2T10	ref	hp2	100420	100420	0.6386719	C	m	7196853	0.77563936	7644117	0.7423312
T2T11	ref	combined	66239	66239	0.7441406	C	-	9223404	0.19179033	10443266	0.19567555
T2T11	ref	combined	66239	66239	0.7441406	C	h	1287347	0.026768936	2672521	0.050075047
T2T11	ref	combined	66239	66239	0.7441406	C	m	37580329	0.78144073	40254530	0.7542494
T2T11	ref	hp1	100420	100420	0.7324219	C	-	1592086	0.1706313	1800287	0.17381302
T2T11	ref	hp1	100420	100420	0.7324219	C	h	287226	0.030783355	578263	0.055829782
T2T11	ref	hp1	100420	100420	0.7324219	C	m	7451250	0.79858536	7979058	0.7703572
T2T11	ref	hp2	100420	100420	0.7324219	C	-	1599970	0.17294726	1803812	0.17565987
T2T11	ref	hp2	100420	100420	0.7324219	C	h	286865	0.031008404	577275	0.05621653
T2T11	ref	hp2	100420	100420	0.7324219	C	m	7364367	0.79604435	7887690	0.7681236
T2T12	ref	combined	66266	66266	0.7441406	C	-	12747034	0.20051457	14271557	0.20224316
T2T12	ref	combined	66266	66266	0.7441406	C	h	1664082	0.026176497	3525379	0.049958374
T2T12	ref	combined	66266	66266	0.7441406	C	m	49160490	0.7733089	52769390	0.74779844
T2T12	ref	hp1	100420	100420	0.72265625	C	-	1917105	0.18681759	2148706	0.18848953
T2T12	ref	hp1	100420	100420	0.72265625	C	h	314350	0.030632703	635046	0.055707723
T2T12	ref	hp1	100420	100420	0.72265625	C	m	8030454	0.78254974	8615852	0.75580275
T2T12	ref	hp2	100420	100420	0.7207031	C	-	1967403	0.18691452	2205075	0.18879037
T2T12	ref	hp2	100420	100420	0.7207031	C	h	327227	0.031088434	653773	0.055973623
T2T12	ref	hp2	100420	100420	0.7207031	C	m	8231053	0.781997	8821171	0.755236
T2T13	ref	combined	66271	66271	0.7050781	C	-	13506007	0.22142097	15032244	0.22195081
T2T13	ref	combined	66271	66271	0.7050781	C	h	1913107	0.03136397	3763116	0.05556234
T2T13	ref	combined	66271	66271	0.7050781	C	m	45577851	0.7472151	48932455	0.72248685
T2T13	ref	hp1	100420	100420	0.6738281	C	-	2241488	0.20598936	2499905	0.2070026
T2T13	ref	hp1	100420	100420	0.6738281	C	h	424454	0.03900668	773073	0.06401368
T2T13	ref	hp1	100420	100420	0.6738281	C	m	8215630	0.755004	8803706	0.7289837
T2T13	ref	hp2	100420	100420	0.67578125	C	-	2207604	0.206864	2459632	0.20745213
T2T13	ref	hp2	100420	100420	0.67578125	C	h	411569	0.03856616	754731	0.06365609
T2T13	ref	hp2	100420	100420	0.67578125	C	m	8052592	0.7545698	8642020	0.7288918
T2T15	ref	combined	66223	66223	0.7558594	C	-	12144093	0.19295345	13556962	0.1939861
T2T15	ref	combined	66223	66223	0.7558594	C	h	1631956	0.025929606	3477390	0.049757853
T2T15	ref	combined	66223	66223	0.7558594	C	m	49161892	0.78111696	52851903	0.75625604
T2T15	ref	hp1	100420	100420	0.71875	C	-	1842734	0.17700288	2079179	0.17974968
T2T15	ref	hp1	100420	100420	0.71875	C	h	335719	0.03224732	653569	0.056502506
T2T15	ref	hp1	100420	100420	0.71875	C	m	8232304	0.7907498	8834332	0.7637478
T2T15	ref	hp2	100420	100420	0.7207031	C	-	1923702	0.17588754	2162758	0.1780191
T2T15	ref	hp2	100420	100420	0.7207031	C	h	347915	0.031810492	685375	0.056414004
T2T15	ref	hp2	100420	100420	0.7207031	C	m	8665497	0.79230195	9300889	0.7655669
T2T16	ref	combined	66167	66167	0.7128906	C	-	12299853	0.21552694	13767797	0.21733147
T2T16	ref	combined	66167	66167	0.7128906	C	h	1698400	0.029760595	3363049	0.053087387
T2T16	ref	combined	66167	66167	0.7128906	C	m	43070499	0.75471246	46218457	0.7295811
T2T16	ref	hp1	100420	100420	0.7050781	C	-	2028280	0.18677625	2263657	0.18761474
T2T16	ref	hp1	100420	100420	0.7050781	C	h	379923	0.0349856	741215	0.06143283
