sample	haplotype	pipeline	total	total_unmapped	total_single_sided_mapped	total_mapped	total_dups	total_nodups	cis	trans	cis_1kb	cis_2kb	cis_10kb	cis_40kb	frac_cis	frac_cis_1kb	frac_cis_2kb	frac_cis_10kb	frac_cis_40kb	frac_dups	complexity_naive	convergence_dist	mapping_rate	single_sided_rate	unmapped_rate
T2T01	hp1	dip3d	223734582	101423	22777823	200855336	0	200855336	200855336	0	200269751	199678070	196064992	188925744	1.0	0.997084543474613	0.9941387367473274	0.9761502776306625	0.9406060489226933	0.0	inf	1334	0.8977393400900358	0.10180734152219705	0.0004533183877671624
T2T01	hp2	dip3d	223313445	102776	22714315	200496354	0	200496354	200496354	0	199912395	199320834	195696642	188551701	1.0	0.9970874333206079	0.9941369507397626	0.9760608514606705	0.9404245874715508	0.0	inf	1334	0.8978248219671682	0.10171494600336312	0.0004602320294687138
T2T02	unphased	wf-pore-c	556139455	38932075	163941998	353265382	0	353265382	138542431	214722951	71911436	61487592	59280580	56706691	0.39217664129908997	0.20356208013611704	0.17405496018854177	0.16780749832996655	0.1605215056141561	0.0	inf	316227766	0.6352100697477039	0.29478577095379793	0.07000415929849825
T2T02	hp1	dip3d	105503353	54303	18591591	86857459	0	86857459	86857459	0	86516646	86310578	85454263	83625913	1.0	0.99607618040035	0.9937036956146736	0.9838448416963246	0.9627948360773483	0.0	inf	1000	0.8232672851639132	0.17621801081525817	0.0005147040208286082
T2T02	hp2	dip3d	105413375	53547	18669618	86690210	0	86690210	86690210	0	86346736	86139732	85281377	83455430	1.0	0.996037914777228	0.9936500557560075	0.9837486493572919	0.9626857519436163	0.0	inf	1000	0.8223834024856903	0.17710862592152088	0.0005079715927888657
T2T03	unphased	wf-pore-c	736261373	49920810	207269099	479071464	0	479071464	274149523	204921941	144312972	128985311	123879649	116379567	0.5722518321400166	0.3012347485593506	0.26924022967896916	0.2585828176148684	0.24292736208558646	0.0	inf	7499	0.6506812411575474	0.2815156500135992	0.06780310882885336
T2T03	hp1	dip3d	257218883	109557	24348107	232761219	0	232761219	232761219	0	232307827	231867963	229066202	222860361	1.0	0.9980521153740821	0.9961623503956645	0.9841252893593069	0.9574634552846194	0.0	inf	1000	0.90491497469103	0.0946590962375029	0.00042592907146712087
T2T03	hp2	dip3d	256698195	112949	24285735	232299511	0	232299511	232299511	0	231845635	231405575	228601076	222384970	1.0	0.9980461603296272	0.9961517956014982	0.9840790237393139	0.9573200091669586	0.0	inf	1000	0.9049518676981737	0.09460812531229525	0.00044000698953103274
T2T04	unphased	wf-pore-c	1391486678	99168328	404567679	887750671	0	887750671	461326600	426424071	278877550	255629186	244953454	228764894	0.5196578443363407	0.31413949784556117	0.28795155481217316	0.27592595759355953	0.2576904771497492	0.0	inf	7499	0.6379871866800582	0.29074491721436374	0.0712678961055781
T2T04	hp1	dip3d	545259594	194475	45559385	499505734	0	499505734	499505734	0	498486501	497536656	491560522	478308572	1.0	0.9979595169171772	0.9960579471546166	0.9840938522639662	0.9575637263855714	0.0	inf	750	0.9160879322372822	0.08355540278673207	0.00035666497598573204
T2T04	hp2	dip3d	544692567	205703	46264901	498221963	0	498221963	498221963	0	497198588	496247844	490264386	477016575	1.0	0.9979459456306626	0.9960376716672364	0.9840280485587505	0.957437869915823	0.0	inf	750	0.914684710577297	0.08493763969428281	0.0003776497284201053
T2T04_1	unphased	wf-pore-c	649991254	42943303	185406112	421641839	0	421641839	267060032	154581807	156440962	143192895	134876189	123573786	0.633381242794551	0.3710280800667886	0.3396078893394638	0.3198833145208818	0.2930776184191721	0.0	inf	7499	0.6486884806606952	0.28524401037556113	0.06606750896374369
