sample,repeat_class,repeat_family,count,total_length,mean_length,mean_div
T2T00_1,rRNA,Unknown,8310,8663003,1042.47930204573,7.83799037304452
T2T00_1,scRNA,Unknown,3537,360243,101.849872773537,10.8799830364716
T2T00_1,snRNA,Unknown,9741,880257,90.3661841700031,13.2664613489375
T2T00_1,srpRNA,Unknown,4318,586536,135.835108846688,16.4983557202409
T2T00_1,tRNA,Unknown,4012,230797,57.5266699900299,10.6565054835494
T2T00_2,DNA,Crypton,588,86619,147.311224489796,25.5112244897959
T2T00_2,DNA,Crypton-A,275,39890,145.054545454545,26.8301818181818
T2T00_2,DNA,Kolobok,762,126003,165.358267716535,25.0191601049869
T2T00_2,DNA,MULE-MuDR,6345,2089578,329.326713947991,18.1803152088258
T2T00_2,DNA,Merlin,452,79990,176.969026548673,21.1367256637168
T2T00_2,DNA,PIF-Harbinger,743,130215,175.255720053836,26.5613728129206
T2T00_2,DNA,PiggyBac,5062,1111884,219.653101540893,13.0321216910312
T2T00_2,DNA,TcMar,322,60851,188.978260869565,26.6403726708075
T2T00_2,DNA,TcMar-Mariner,33808,5956175,176.176496687175,15.1080424751538
T2T00_2,DNA,TcMar-Pogo,64,7596,118.6875,24.7953125
T2T00_2,DNA,TcMar-Tc1,1581,268825,170.034788108792,21.8008855154965
T2T00_2,DNA,TcMar-Tc2,16381,3398824,207.485745680972,24.1879860814358
T2T00_2,DNA,TcMar-Tigger,255998,77198144,301.557605918796,20.1739615153243
T2T00_2,DNA,Unknown,15955,2274157,142.535694139768,25.714471952366
T2T00_2,DNA,hAT,5624,1027122,182.631934566145,26.0905227596017
T2T00_2,DNA,hAT-Ac,7589,1274432,167.931479773356,25.354934774015
T2T00_2,DNA,hAT-Blackjack,33376,4846992,145.223873441994,22.2580566874401
T2T00_2,DNA,hAT-Charlie,522829,94801509,181.324121271008,23.0464689219611
T2T00_2,DNA,hAT-Tag1,4085,902686,220.97576499388,25.9000734394125
T2T00_2,DNA,hAT-Tip100,129552,24803886,191.458919970359,25.2787390391503
T2T00_2,DNA,hAT-hAT19,35,3285,93.8571428571429,22.1628571428571
T2T00_2,LINE,CR1,124992,21849508,174.807251664107,30.0011152713774
T2T00_2,LINE,Dong-R4,987,214191,217.012158054711,28.755116514691
