sample	modifier	k	tech	haplotype	unique_kmers	total_kmers	qv	error_rate
T2T04_1		31	NSXPlus	hap2	701280	3057768199	51.3083	7.39901e-06
T2T04_1		31	NSXPlus	diploid	1362708	5979972792	51.3361	7.35173e-06
T2T04_1		37	NSXPlus	hap1	1545517	2922203753	48.4473	1.42979e-05
T2T04_1		37	NSXPlus	hap2	1642288	3057767191	48.3804	1.45197e-05
T2T04_1		37	NSXPlus	diploid	3187805	5979970944	48.413	1.44113e-05
T2T04_2		21	NSXPlus	hap1	314096	3040047365	53.0802	4.92022e-06
T2T04_2		21	NSXPlus	hap2	311540	3026104548	53.0957	4.90266e-06
T2T04_2		21	NSXPlus	diploid	625636	6066151913	53.0879	4.91146e-06
T2T04_2		31	NSXPlus	hap1	847111	3040044815	50.4624	8.98995e-06
T2T04_2		31	NSXPlus	hap2	834071	3026102798	50.5098	8.89233e-06
T2T04_2		31	NSXPlus	diploid	1681182	6066147613	50.486	8.94125e-06
T2T04_2		37	NSXPlus	hap1	1899171	3040043285	47.7239	1.68894e-05
T2T04_2		37	NSXPlus	hap2	1882029	3026101748	47.7433	1.68141e-05
T2T04_2		37	NSXPlus	diploid	3781200	6066145033	47.7335	1.68518e-05
T2T05		21	NSXPlus	hap1	69327	2907152012	59.4478	1.13559e-06
T2T05		21	NSXPlus	hap2	97589	3029383398	58.1417	1.53403e-06
T2T05		21	NSXPlus	diploid	166916	5936535410	58.7325	1.33891e-06
T2T05		31	NSXPlus	hap1	1030714	2907151532	49.4162	1.14389e-05
T2T05		31	NSXPlus	hap2	1168738	3029382798	49.0492	1.24475e-05
T2T05		31	NSXPlus	diploid	2199452	5936534330	49.225	1.19536e-05
T2T05		37	NSXPlus	hap1	2265771	2907151244	46.7629	2.10723e-05
T2T05		37	NSXPlus	hap2	2511783	3029382438	46.494	2.24182e-05
T2T05		37	NSXPlus	diploid	4777554	5936533682	46.6236	2.17591e-05
T2T06		21	NSXPlus	hap1	49697	2904842077	60.8901	8.14689e-07
T2T06		21	NSXPlus	hap2	62752	3030069275	60.0604	9.86189e-07
T2T06		21	NSXPlus	diploid	112449	5934911352	60.4467	9.02248e-07
T2T06		31	NSXPlus	hap1	639038	2904841477	51.4891	7.09723e-06
T2T06		31	NSXPlus	hap2	692342	3030068095	51.3245	7.37148e-06
T2T06		31	NSXPlus	diploid	1331380	5934909572	51.4043	7.23725e-06
T2T06		37	NSXPlus	hap1	1533060	2904841117	48.4565	1.42675e-05
T2T06		37	NSXPlus	hap2	1646453	3030067387	48.3299	1.46896e-05
T2T06		37	NSXPlus	diploid	3179513	5934908504	48.3914	1.4483e-05
T2T07		21	NSXPlus	hap1	51240	3030167932	60.9407	8.05242e-07
T2T07		21	NSXPlus	hap2	56753	3031383985	60.4987	8.91523e-07
T2T07		21	NSXPlus	diploid	107993	6061551917	60.714	8.48391e-07
T2T07		31	NSXPlus	hap1	624736	3030166372	51.7709	6.65138e-06
T2T07		31	NSXPlus	hap2	632155	3031382055	51.7213	6.72768e-06
T2T07		31	NSXPlus	diploid	1256891	6061548427	51.746	6.68953e-06
T2T07		37	NSXPlus	hap1	1511584	3030165436	48.7013	1.34856e-05
T2T07		37	NSXPlus	hap2	1519599	3031380897	48.6801	1.35517e-05
T2T07		37	NSXPlus	diploid	3031183	6061546333	48.6907	1.35186e-05
T2T08		21	NSXPlus	hap1	28941	3019100732	63.4058	4.56477e-07
T2T08		21	NSXPlus	hap2	31642	3029809965	63.0337	4.97315e-07
T2T08		21	NSXPlus	diploid	60583	6048910697	63.2154	4.76932e-07
T2T08		31	NSXPlus	hap1	630710	3019100172	51.7137	6.7396e-06
T2T08		31	NSXPlus	hap2	633292	3029809175	51.7113	6.74328e-06
T2T08		31	NSXPlus	diploid	1264002	6048909347	51.7125	6.74144e-06
T2T08		37	NSXPlus	hap1	1541283	3019099836	48.6009	1.3801e-05
T2T08		37	NSXPlus	hap2	1541833	3029808701	48.6147	1.37571e-05
T2T08		37	NSXPlus	diploid	3083116	6048908537	48.6078	1.3779e-05
T2T09		21	NSXPlus	hap1	37776	2901952556	62.0769	6.19882e-07
T2T09		21	NSXPlus	hap2	40833	3036461942	61.9357	6.40364e-07
T2T09		21	NSXPlus	diploid	78609	5938414498	62.0041	6.30355e-07
T2T09		31	NSXPlus	hap1	792568	2901951386	50.5496	8.81134e-06
T2T09		31	NSXPlus	hap2	851634	3036460702	50.4342	9.04862e-06
T2T09		31	NSXPlus	diploid	1644202	5938412088	50.4902	8.93267e-06
T2T09		37	NSXPlus	hap1	1851302	2901950684	47.6328	1.72473e-05
T2T09		37	NSXPlus	hap2	1976825	3036459958	47.5446	1.7601e-05
T2T09		37	NSXPlus	diploid	3828127	5938410642	47.5875	1.74281e-05
T2T12		21	NSXPlus	hap1	41818	3012264168	61.7975	6.6108e-07
T2T12		21	NSXPlus	hap2	50534	3027202884	60.9967	7.94925e-07
T2T12		21	NSXPlus	diploid	92352	6039467052	61.3777	7.28168e-07
T2T12		31	NSXPlus	hap1	597470	3012263738	51.939	6.39887e-06
T2T12		31	NSXPlus	hap2	607955	3027201874	51.8849	6.47904e-06
T2T12		31	NSXPlus	diploid	1205425	6039465612	51.9118	6.43905e-06
T2T12		37	NSXPlus	hap1	1454062	3012263480	48.8441	1.30494e-05
T2T12		37	NSXPlus	hap2	1469036	3027201268	48.8211	1.31187e-05
T2T12		37	NSXPlus	diploid	2923098	6039464748	48.8325	1.30841e-05
T2T13		21	NSXPlus	hap1	63094	3025895605	60.0308	9.92931e-07
T2T13		21	NSXPlus	hap2	63842	3034954041	59.9926	1.0017e-06
T2T13		21	NSXPlus	diploid	126936	6060849646	60.0116	9.97324e-07
T2T13		31	NSXPlus	hap1	1121869	3025894735	49.222	1.1962e-05
T2T13		31	NSXPlus	hap2	1126199	3034953271	49.2182	1.19724e-05
T2T13		31	NSXPlus	diploid	2248068	6060848006	49.2201	1.19672e-05
T2T13		37	NSXPlus	hap1	2469200	3025894213	46.5633	2.20634e-05
T2T13		37	NSXPlus	hap2	2474982	3034952809	46.5661	2.20491e-05
T2T13		37	NSXPlus	diploid	4944182	6060847022	46.5647	2.20563e-05
