metric	value	haplotype	asm_method	asm_name	source
asm.full_dup	33774	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
asm.frag	12	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
asm.part50+	15	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
asm.part10+	3	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
asm.part10-	122	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
asm.dup_cnt	1452	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
asm.dup_sum	6525	NA	unphased_verkko	TUE_02_03UL_01DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.full_sgl	2146	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.full_dup	33829	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.frag	5	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.part50+	10	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.part10+	2	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.part10-	126	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.dup_cnt	1450	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
asm.dup_sum	6464	NA	unphased_verkko	TUE_02_04UL_01DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.full_sgl	2098	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.full_dup	33887	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.frag	4	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.part50+	12	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.part10-	117	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.dup_cnt	1450	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
asm.dup_sum	6440	NA	unphased_verkko	TUE_02_05UL_01DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.full_sgl	2091	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.full_dup	33894	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.frag	3	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.part50+	12	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.part10-	118	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.dup_cnt	1449	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
asm.dup_sum	6451	NA	unphased_verkko	TUE_02_06UL_01DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.full_sgl	3379	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.full_dup	32181	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.frag	340	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.part50+	93	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.part10+	7	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.part10-	118	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.dup_cnt	1444	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
asm.dup_sum	6793	NA	unphased_verkko	TUE_02_01UL_02DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.full_sgl	2202	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.full_dup	33765	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.frag	16	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.part50+	14	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.part10-	121	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.dup_cnt	1448	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
asm.dup_sum	6569	NA	unphased_verkko	TUE_02_02UL_02DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.full_sgl	2147	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.full_dup	33835	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.frag	9	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.part50+	13	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.part10-	114	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.dup_cnt	1449	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
asm.dup_sum	6518	NA	unphased_verkko	TUE_02_03UL_02DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.full_sgl	2134	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.full_dup	33857	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.frag	3	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.part50+	11	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.part10-	113	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.dup_cnt	1452	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
asm.dup_sum	6538	NA	unphased_verkko	TUE_02_04UL_02DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.full_sgl	2064	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.full_dup	33917	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.frag	3	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.part50+	13	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.part10-	121	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.dup_cnt	1450	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
asm.dup_sum	6487	NA	unphased_verkko	TUE_02_05UL_02DX	asmgene
ref.full_sgl	36118	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.full_sgl	2084	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
ref.full_dup	0	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.full_dup	33906	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
ref.frag	0	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.frag	4	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
ref.part50+	0	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.part50+	9	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
ref.part10+	0	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.part10+	0	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
ref.part10-	0	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.part10-	115	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
ref.dup_cnt	1468	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.dup_cnt	1452	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
ref.dup_sum	4509	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
asm.dup_sum	6584	NA	unphased_verkko	TUE_02_06UL_02DX	asmgene
unique_kmers	786226	assembly	unphased_verkko	TUE_02_01UL	merqury
total_kmers	6684892810	assembly	unphased_verkko	TUE_02_01UL	merqury
qv	52.5174	assembly	unphased_verkko	TUE_02_01UL	merqury
error_rate	5.6009e-6	assembly	unphased_verkko	TUE_02_01UL	merqury
unique_kmers	210521	assembly	unphased_verkko	TUE_02_02UL	merqury
total_kmers	6362059854	assembly	unphased_verkko	TUE_02_02UL	merqury
qv	58.0251	assembly	unphased_verkko	TUE_02_02UL	merqury
error_rate	1.57574e-6	assembly	unphased_verkko	TUE_02_02UL	merqury
unique_kmers	185223	assembly	unphased_verkko	TUE_02_03UL	merqury
total_kmers	6221116683	assembly	unphased_verkko	TUE_02_03UL	merqury
qv	58.4839	assembly	unphased_verkko	TUE_02_03UL	merqury
error_rate	1.41779e-6	assembly	unphased_verkko	TUE_02_03UL	merqury
unique_kmers	255093	assembly	unphased_verkko	TUE_02_04UL	merqury
total_kmers	6131327465	assembly	unphased_verkko	TUE_02_04UL	merqury
qv	57.0307	assembly	unphased_verkko	TUE_02_04UL	merqury
error_rate	1.98122e-6	assembly	unphased_verkko	TUE_02_04UL	merqury
unique_kmers	165921	assembly	unphased_verkko	TUE_02_05UL	merqury
total_kmers	6095303089	assembly	unphased_verkko	TUE_02_05UL	merqury
qv	58.8731	assembly	unphased_verkko	TUE_02_05UL	merqury
error_rate	1.29626e-6	assembly	unphased_verkko	TUE_02_05UL	merqury
unique_kmers	155302	assembly	unphased_verkko	TUE_02_06UL	merqury
total_kmers	6093554509	assembly	unphased_verkko	TUE_02_06UL	merqury
qv	59.1591	assembly	unphased_verkko	TUE_02_06UL	merqury
error_rate	1.21365e-6	assembly	unphased_verkko	TUE_02_06UL	merqury
unique_kmers	1008123	assembly	unphased_verkko	TUE_02_01UL_01DX	merqury
total_kmers	6704535576	assembly	unphased_verkko	TUE_02_01UL_01DX	merqury
qv	51.4504	assembly	unphased_verkko	TUE_02_01UL_01DX	merqury
error_rate	7.16072e-6	assembly	unphased_verkko	TUE_02_01UL_01DX	merqury
unique_kmers	249163	assembly	unphased_verkko	TUE_02_02UL_01DX	merqury
total_kmers	6365389256	assembly	unphased_verkko	TUE_02_02UL_01DX	merqury
qv	57.2955	assembly	unphased_verkko	TUE_02_02UL_01DX	merqury
error_rate	1.86401e-6	assembly	unphased_verkko	TUE_02_02UL_01DX	merqury
unique_kmers	185482	assembly	unphased_verkko	TUE_02_03UL_01DX	merqury
total_kmers	6247839995	assembly	unphased_verkko	TUE_02_03UL_01DX	merqury
qv	58.4964	assembly	unphased_verkko	TUE_02_03UL_01DX	merqury
error_rate	1.4137e-6	assembly	unphased_verkko	TUE_02_03UL_01DX	merqury
unique_kmers	162036	assembly	unphased_verkko	TUE_02_04UL_01DX	merqury
total_kmers	6132666219	assembly	unphased_verkko	TUE_02_04UL_01DX	merqury
qv	59.0025	assembly	unphased_verkko	TUE_02_04UL_01DX	merqury
error_rate	1.2582e-6	assembly	unphased_verkko	TUE_02_04UL_01DX	merqury
unique_kmers	150306	assembly	unphased_verkko	TUE_02_05UL_01DX	merqury
total_kmers	6100101665	assembly	unphased_verkko	TUE_02_05UL_01DX	merqury
qv	59.3057	assembly	unphased_verkko	TUE_02_05UL_01DX	merqury
error_rate	1.17334e-6	assembly	unphased_verkko	TUE_02_05UL_01DX	merqury
unique_kmers	155363	assembly	unphased_verkko	TUE_02_06UL_01DX	merqury
total_kmers	6085569618	assembly	unphased_verkko	TUE_02_06UL_01DX	merqury
qv	59.1517	assembly	unphased_verkko	TUE_02_06UL_01DX	merqury
error_rate	1.21572e-6	assembly	unphased_verkko	TUE_02_06UL_01DX	merqury
unique_kmers	1022624	assembly	unphased_verkko	TUE_02_01UL_02DX	merqury
total_kmers	6705203893	assembly	unphased_verkko	TUE_02_01UL_02DX	merqury
qv	51.3888	assembly	unphased_verkko	TUE_02_01UL_02DX	merqury
error_rate	7.263e-6	assembly	unphased_verkko	TUE_02_01UL_02DX	merqury
unique_kmers	251743	assembly	unphased_verkko	TUE_02_02UL_02DX	merqury
total_kmers	6369125956	assembly	unphased_verkko	TUE_02_02UL_02DX	merqury
qv	57.2533	assembly	unphased_verkko	TUE_02_02UL_02DX	merqury
error_rate	1.8822e-6	assembly	unphased_verkko	TUE_02_02UL_02DX	merqury
unique_kmers	264075	assembly	unphased_verkko	TUE_02_03UL_02DX	merqury
total_kmers	6296501307	assembly	unphased_verkko	TUE_02_03UL_02DX	merqury
qv	56.9958	assembly	unphased_verkko	TUE_02_03UL_02DX	merqury
error_rate	1.99718e-6	assembly	unphased_verkko	TUE_02_03UL_02DX	merqury
unique_kmers	270844	assembly	unphased_verkko	TUE_02_04UL_02DX	merqury
total_kmers	6266046288	assembly	unphased_verkko	TUE_02_04UL_02DX	merqury
qv	56.8648	assembly	unphased_verkko	TUE_02_04UL_02DX	merqury
error_rate	2.05833e-6	assembly	unphased_verkko	TUE_02_04UL_02DX	merqury
unique_kmers	306484	assembly	unphased_verkko	TUE_02_05UL_02DX	merqury
total_kmers	6252742119	assembly	unphased_verkko	TUE_02_05UL_02DX	merqury
qv	56.3187	assembly	unphased_verkko	TUE_02_05UL_02DX	merqury
error_rate	2.33415e-6	assembly	unphased_verkko	TUE_02_05UL_02DX	merqury
unique_kmers	112179011	assembly	unphased_verkko	TUE_02_06UL_02DX	merqury
total_kmers	6313216812	assembly	unphased_verkko	TUE_02_06UL_02DX	merqury
qv	33.1476	assembly	unphased_verkko	TUE_02_06UL_02DX	merqury
error_rate	4.84441e-4	assembly	unphased_verkko	TUE_02_06UL_02DX	merqury
n_T2T	0	NA	unphased_verkko	TUE_02_01UL	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_02UL	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_03UL	t2t_alignment
n_T2T	1	NA	unphased_verkko	TUE_02_04UL	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_05UL	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_06UL	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_01UL_01DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_02UL_01DX	t2t_alignment
n_T2T	1	NA	unphased_verkko	TUE_02_03UL_01DX	t2t_alignment
n_T2T	1	NA	unphased_verkko	TUE_02_04UL_01DX	t2t_alignment
n_T2T	1	NA	unphased_verkko	TUE_02_05UL_01DX	t2t_alignment
n_T2T	1	NA	unphased_verkko	TUE_02_06UL_01DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_01UL_02DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_02UL_02DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_03UL_02DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_04UL_02DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_05UL_02DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_06UL_02DX	t2t_alignment
n_T2T	0	NA	unphased_verkko	TUE_02_01UL	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_02UL	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_03UL	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_04UL	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_05UL	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_06UL	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_01UL_01DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_02UL_01DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_03UL_01DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_04UL_01DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_05UL_01DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_06UL_01DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_01UL_02DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_02UL_02DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_03UL_02DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_04UL_02DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_05UL_02DX	t2t_motif
n_T2T	0	NA	unphased_verkko	TUE_02_06UL_02DX	t2t_motif
