metric	value	haplotype	asm_method	asm_name	source
Number of insertions in [100,300)	7893	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of insertions in [300,400)	4669	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of insertions in [400,1000)	4110	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of insertions in [1000,inf)	5364	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of deletions in [0,50)	914485	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of deletions in [50,100)	7680	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of deletions in [100,300)	7101	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of deletions in [300,400)	4623	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of deletions in [400,1000)	6855	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of deletions in [1000,inf)	5224	NA	unphased_verkko	TUE_02_02UL_01DX	stat
Number of mapped sequences	2395	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of primary alignments	28886	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of secondary alignments	17381	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of bases in mapped sequences	6247887895	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of mapped bases	6199955067	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of substitutions	8371597	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of insertions in [0,50)	768266	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of insertions in [50,100)	7484	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of insertions in [100,300)	7288	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of insertions in [300,400)	4247	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of insertions in [400,1000)	3646	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of insertions in [1000,inf)	5164	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of deletions in [0,50)	891097	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of deletions in [50,100)	7497	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of deletions in [100,300)	7103	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of deletions in [300,400)	4134	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of deletions in [400,1000)	4857	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of deletions in [1000,inf)	4888	NA	unphased_verkko	TUE_02_03UL_01DX	stat
Number of mapped sequences	1454	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of primary alignments	26983	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of secondary alignments	21624	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of bases in mapped sequences	6132695299	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of mapped bases	6081420448	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of substitutions	8161679	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of insertions in [0,50)	746032	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of insertions in [50,100)	7327	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of insertions in [100,300)	7061	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of insertions in [300,400)	4029	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of insertions in [400,1000)	3639	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of insertions in [1000,inf)	5259	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of deletions in [0,50)	876547	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of deletions in [50,100)	7340	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of deletions in [100,300)	6755	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of deletions in [300,400)	3972	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of deletions in [400,1000)	4874	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of deletions in [1000,inf)	4882	NA	unphased_verkko	TUE_02_04UL_01DX	stat
Number of mapped sequences	1099	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of primary alignments	26789	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of secondary alignments	16002	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_05UL_01DX	stat
