flowcell_id	dataset	sequencing_type	yield	longest_read	bases_longer_1e5	bases_longer_2e5	reads_longer_1e6	N50
25006LRa083_T2T11_05485	T2T11	UltraLong	66289403233	1715303	25352204881	3430833420	34	81624
25006LRa085_T2T11_05591	T2T11	UltraLong	56094917904	1734608	13517659715	1108624465	18	63773
25006LRa095_T2T11_PoreC_05486	T2T11	PoreC	104397431029	1465085	1319950450	817942771	59	7889
25006LRa096_T2T11_PoreC_05487	T2T11	PoreC	139700049103	1442680	1719424626	1098721500	82	8103
25006LRa131_T2T12_05680	T2T12	UltraLong	55260449010	1500429	25988885613	5044457633	16	95091
25006LRa130_T2T12_05679	T2T12	UltraLong	98662289209	1521045	26807438783	3480380742	25	62626
25006LRa130_T2T12_05678	T2T12	UltraLong	96052090792	1667977	41904004025	7501128147	39	89659
25066LRa145_T2T12_PoreC_05688	T2T12	PoreC	152396035893	1439537	804672272	445901789	27	8742
25066LRa146_T2T12_PoreC_05689	T2T12	PoreC	141964011703	1416357	1038457011	497125115	42	8841
25006LRa145_T2T12_PoreC_06052	T2T12	PoreC	145472680568	1384766	673745041	329055098	8	8784
25006LRa220_T2T12_PoreC_06053	T2T12	PoreC	93484333613	1222349	494077863	236573406	6	8031
25006LRa221_T2T12_PoreC_06054	T2T12	PoreC	133271814141	1495344	737061832	368991183	13	8874
25006LRa101_T2T13_05534	T2T13	UltraLong	64036585193	2195342	30479023773	7245762639	17	95699
25006LRa101_T2T13_05535	T2T13	UltraLong	83607096069	1351606	29031400288	5800171711	31	74034
25006LRa102_T2T13_05536	T2T13	UltraLong	72035316627	1664446	25669753442	4268828187	17	76428
25006LRa112_T2T13_PoreC_05519	T2T13	PoreC	137107639710	1213655	1364179673	591374085	14	8360
25006LRa113_T2T13_PoreC_05520	T2T13	PoreC	138929580477	1561802	1370523120	616476978	15	8760
25006LRa112_T2T13_PoreC_06055	T2T13	PoreC	72607773207	1161597	620325608	307576263	9	8560
25006LRa222_T2T13_PoreC_06056	T2T13	PoreC	152919741490	1669745	1205143899	613987318	22	8183
25006LRa223_T2T13_PoreC_06057	T2T13	PoreC	70998079000	1331406	464484447	229297923	6	7915
25006LRa136_T2T15_05683	T2T15	UltraLong	81804627835	1923615	34863487478	5492737387	23	88457
25006LRa135_T2T15_05682	T2T15	UltraLong	86835150096	1434612	32263821731	4142622412	14	80226
25006LRa135_T2T15_05681	T2T15	UltraLong	78263162334	1755360	27359704763	3861267362	21	75652
25066LRa147_T2T15_PoreC_05690	T2T15	PoreC	160128065655	1366248	1011721859	469078682	27	8767
25066LRa148_T2T15_PoreC_05691	T2T15	PoreC	126925934176	1198332	731614036	371361730	17	8609
25006LRa141_T2T16_05686	T2T16	UltraLong	61079948603	1237503	22272530627	3449706610	9	79188
25006LRa140_T2T16_05685	T2T16	UltraLong	54566182683	1453139	22329911933	3326599478	19	86232
25006LRa140_T2T16_05684	T2T16	UltraLong	67280175476	1503739	27757214177	4391199366	15	86586
25066LRa149_T2T16_PoreC_05692	T2T16	PoreC	131927330679	1456145	764818469	447352060	31	9540
25066LRa150_T2T16_PoreC_05693	T2T16	PoreC	123869431050	1359870	677088219	411471199	28	9359
25006LRa153_T2T17_05793	T2T17	UltraLong	75906562633	1554463	28678781784	5098461864	42	79456
25006LRa153_T2T17_05794	T2T17	UltraLong	109502519018	1541843	43846015286	6851932758	32	84281
25006LRa154_T2T17_05795	T2T17	UltraLong	75939744427	1416490	25461212846	4037952704	29	73567
25006LRa168_T2T17_PoreC_05787	T2T17	PoreC	120494323913	1414056	1149963360	573308593	20	8813
25006LRa169_T2T17_PoreC_05788	T2T17	PoreC	87831903162	2030057	973501887	575864823	33	8659
25006LRa159_T2T18_05798	T2T18	UltraLong	89852163894	1590393	40571462132	7505763275	67	92010
25006LRa158_T2T18_05797	T2T18	UltraLong	102010408912	1725481	45403672561	8512193856	68	91089
25006LRa158_T2T18_05796	T2T18	UltraLong	93196884660	2081083	40164691830	8263468981	76	88296
25006LRa170_T2T18_PoreC_05789	T2T18	PoreC	83376338221	1499504	713526040	421206024	14	7141
25006LRa171_T2T18_PoreC_05790	T2T18	PoreC	62601626707	2335672	595401366	366634375	29	7565
25006LRa164_T2T19_05801	T2T19	UltraLong	120913690060	2094104	44324349559	7784117207	119	77733
25006LRa163_T2T19_05800	T2T19	UltraLong	88767765150	1566726	36678259786	6291109439	45	85785
25006LRa163_T2T19_05799	T2T19	UltraLong	89296508217	1967994	35981871126	6553123398	58	83738
25006LRa172_T2T19_PoreC_05791	T2T19	PoreC	102069046052	1505043	1226418130	867861493	69	6965
25006LRa173_T2T19_PoreC_05792	T2T19	PoreC	97982992634	1424881	1110974702	729093816	54	7212
25006LRa314_T2T_HG002_06515	T2T_HG002	UltraLong	45979016669	1345449	19116132246	3063665204	18	86131
25006LRa314_T2T_HG002_06554	T2T_HG002	UltraLong	70288795037	1582891	20646295629	2683713409	18	65159
25006LRa328_T2T_HG002_06596	T2T_HG002	UltraLong	65912997955	1477439	18967043219	2011309924	14	66486
25006LRa332_T2T_HG002_PoreC_06710	T2T_HG002	PoreC	133923052348	1459855	1473958996	910239354	53	7482
