metric	value	haplotype	asm_method	asm_name	source	chromosome
asm_covered	0.9731	haplotype1	phased_verkko	T2T10	asmstat	NA
length	3031698927	haplotype2	phased_verkko	T2T10	asmstat	NA
ref_covered	0.9329	haplotype2	phased_verkko	T2T10	asmstat	NA
asm_covered	0.9696	haplotype2	phased_verkko	T2T10	asmstat	NA
length	6202961739	both	phased_verkko	T2T10	asmstat	NA
ref_covered	0.945	both	phased_verkko	T2T10	asmstat	NA
asm_covered	0.9691	both	phased_verkko	T2T10	asmstat	NA
length	2908634318	haplotype1	phased_verkko	T2T11	asmstat	NA
ref_covered	0.8945000000000001	haplotype1	phased_verkko	T2T11	asmstat	NA
asm_covered	0.9677	haplotype1	phased_verkko	T2T11	asmstat	NA
length	3092232418	haplotype2	phased_verkko	T2T11	asmstat	NA
ref_covered	0.9451	haplotype2	phased_verkko	T2T11	asmstat	NA
asm_covered	0.9669	haplotype2	phased_verkko	T2T11	asmstat	NA
length	6067875207	both	phased_verkko	T2T11	asmstat	NA
ref_covered	0.9611	both	phased_verkko	T2T11	asmstat	NA
asm_covered	0.9674	both	phased_verkko	T2T11	asmstat	NA
length	3012509690	haplotype1	phased_verkko	T2T12	asmstat	NA
ref_covered	0.9359	haplotype1	phased_verkko	T2T12	asmstat	NA
asm_covered	0.9761	haplotype1	phased_verkko	T2T12	asmstat	NA
length	3027564904	haplotype2	phased_verkko	T2T12	asmstat	NA
ref_covered	0.9368	haplotype2	phased_verkko	T2T12	asmstat	NA
asm_covered	0.9725	haplotype2	phased_verkko	T2T12	asmstat	NA
length	6094450237	both	phased_verkko	T2T12	asmstat	NA
ref_covered	0.9498	both	phased_verkko	T2T12	asmstat	NA
asm_covered	0.974	both	phased_verkko	T2T12	asmstat	NA
length	3026811903	haplotype1	phased_verkko	T2T13	asmstat	NA
ref_covered	0.9355	haplotype1	phased_verkko	T2T13	asmstat	NA
asm_covered	0.9712	haplotype1	phased_verkko	T2T13	asmstat	NA
length	3035761970	haplotype2	phased_verkko	T2T13	asmstat	NA
ref_covered	0.936	haplotype2	phased_verkko	T2T13	asmstat	NA
asm_covered	0.9698	haplotype2	phased_verkko	T2T13	asmstat	NA
length	6132410785	both	phased_verkko	T2T13	asmstat	NA
ref_covered	0.946	both	phased_verkko	T2T13	asmstat	NA
asm_covered	0.9699	both	phased_verkko	T2T13	asmstat	NA
length	3025620752	haplotype1	phased_verkko	T2T15	asmstat	NA
ref_covered	0.9418	haplotype1	phased_verkko	T2T15	asmstat	NA
asm_covered	0.979	haplotype1	phased_verkko	T2T15	asmstat	NA
length	3006456242	haplotype2	phased_verkko	T2T15	asmstat	NA
ref_covered	0.9367	haplotype2	phased_verkko	T2T15	asmstat	NA
asm_covered	0.9772	haplotype2	phased_verkko	T2T15	asmstat	NA
length	6105458968	both	phased_verkko	T2T15	asmstat	NA
ref_covered	0.9546	both	phased_verkko	T2T15	asmstat	NA
asm_covered	0.9767	both	phased_verkko	T2T15	asmstat	NA
length	3011084438	haplotype1	phased_verkko	T2T16	asmstat	NA
ref_covered	0.9326	haplotype1	phased_verkko	T2T16	asmstat	NA
asm_covered	0.9739	haplotype1	phased_verkko	T2T16	asmstat	NA
